ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
VEGFC,FGFR1,0.010323636916143845,0.25508717,0.008758596993681977,0.3813558,2.44934995889945e-06,4.445015546150936,0.03500327147577109,0.8947002388697423,57
NRG1,ERBB2,0.014685280188993895,0.06277603,0.013123348699528893,0.15720603,2.4396299777823604e-06,4.427375981409779,0.035366840743502936,0.8967333970348267,58
TGFB1,MET,0.002730608562884234,2.6344543,0.0011760901308777581,1.8816793,2.416527555447872e-06,4.385450316170546,0.036246915882607755,0.9012747762142301,59
IL6,F3,0.028643128969011163,0.010937851,0.027091241389524002,0.025846448,2.4083550593665207e-06,4.370619086357725,0.036563705602382646,0.9028149941097277,60
TNC,ITGB4,0.011723153675945742,0.17959574,0.010189285755631067,0.24948505,2.352750796970465e-06,4.2697099411028026,0.03879755268849938,0.9130084064861091,61
DCN,ERBB4,0.011249188614592183,0.15497987,0.009720726023713655,0.5146444,2.3361978917151023e-06,4.239670166293688,0.03948983820554408,0.916268340827214,62
LRIG1,ERBB4,0.016587476605268003,0.026504653,0.015065729522087127,0.08695087,2.3157141851695034e-06,4.202496877230948,0.04036450513645895,0.9201632970323388,63
WNT7B,FZD10,0.020715696787156016,0.010109418,0.022232704745961344,0.00078125385,2.3013131470787066e-06,4.176362254058086,0.040991596592273805,0.9229467313190933,64
FGF2,ERBB4,0.0113874316349114,0.13601205,0.0098771464025232,0.38483092,2.2809614831698763e-06,4.139428592481429,0.0418953091998896,0.9269743267928141,65
FGF2,ITGB3,0.005368383334262196,1.2566012,0.003859493611765108,1.8404717,2.2767481946573394e-06,4.131782427885554,0.04208500131035953,0.9277537335988935,66
MDK,SDC2,0.005623910795612421,1.1641217,0.004115740205135882,0.9765561,2.274578529978352e-06,4.127844977790685,0.042183036583447575,0.9282348800504199,67
TNC,ITGB3,0.01040415458699881,0.28536,0.008908585083506297,0.4204135,2.2367281397768387e-06,4.059155090393295,0.0439324756807985,0.9352231177467302,68
LRIG1,MET,0.007999662197636842,0.545857,0.006506050241767633,0.8656031,2.230876674715444e-06,4.048536006308902,0.04420966915730451,0.9362978113788823,69
LIF,LIFR,0.011754454266087068,0.14393021,0.01026672354697318,0.33090892,2.2133426925951257e-06,4.016715799144317,0.04505136117725983,0.9396271050193932,70
DCN,MET,0.0026609479261684873,3.191774,0.0011760304901439627,5.1233273,2.204979791809648e-06,4.001539027908627,0.0454587370690801,0.9411268008096346,71
TGFB1,SDC2,0.005599393516992884,1.033932,0.004114503290130501,0.8160027,2.2048989858314195e-06,4.001392383355796,0.04546269218497745,0.9411389789111994,72
THBS1,SDC2,0.009067638136300266,0.33392394,0.007583562228778855,0.6282424,2.2024812992854994e-06,3.9970048297343594,0.04558119569667507,0.9415641255934225,73
CCL26,CXCR4,0.015276286221241856,0.11413591,0.01675080847730489,0.014286647,2.1742158836252153e-06,3.9457095007137433,0.04699103405617566,0.9465497103580464,74
FGF2,MET,0.002799179252153074,2.8011358,0.0013309549071963591,3.831024,2.155682727123575e-06,3.9120760182994725,0.04794034242471312,0.9499163910075447,75
LAMB1,ITGB4,0.006451229994779927,0.9749182,0.004987641932434002,0.7955996,2.1420900162415e-06,3.8874083259733396,0.048649441788515824,0.9522499331856858,76
ACTR2,ACVR1B,0.008893485245821812,0.4410307,0.007437381763535121,0.67903244,2.1202373511274273e-06,3.847750687094929,0.049812751346812956,0.955568668502185,77
LRIG1,ERBB3,0.014767204653988387,0.053820916,0.013317714073346613,0.1433124,2.101022943369226e-06,3.812880887912103,0.05085990211130764,0.9587626701394043,78
VEGFC,ERBB4,0.014819096685240635,0.041487448,0.013374543247029278,0.11384365,2.0867346358482538e-06,3.786950845196833,0.05165366416957207,0.9614267336945463,79
LAMC1,ITGB4,0.006424057210902862,1.0326728,0.004986364738043402,0.79119676,2.0669596465167513e-06,3.751063717396201,0.0527739166004908,0.9648170467567625,80
FGF2,ERBB3,0.009566554136505676,0.276189,0.008130948773005056,0.63427824,2.0609627597117465e-06,3.7401807257763626,0.0531186995491677,0.9658519923006287,81
LMAN1,MCFD2,0.0033576549441074227,2.6201806,0.0019224887301893603,2.851217,2.0597020615719058e-06,3.737892844124239,0.05319148461382428,0.9660690860979898,82
LAMB1,ITGB3,0.005132282460768844,1.5490495,0.0037059266366927445,1.3406848,2.0344909368758095e-06,3.6921403615919144,0.05466941974022743,0.9704372262911997,83
LAMB1,DAG1,0.004979544867644125,1.6238819,0.003554509370129961,1.4269364,2.0307261691754403e-06,3.685308160707355,0.0548938268815059,0.9710183743100427,84
VEGFC,MET,0.006230883532006786,0.8544241,0.004816498252351013,1.133323,2.0004857193069395e-06,3.6304285918243187,0.056732204922178786,0.9762593422431726,85
VEGFC,EPHB2,0.00876252203748238,0.53133404,0.010175760372462267,0.06884662,1.997242591456722e-06,3.624543049147988,0.056933204645002955,0.976707774426809,86
WNT5A,LRP6,0.007509757476653674,0.65066606,0.006096959917122448,0.9206155,1.9959969442173867e-06,3.6222824814721655,0.057010607081264486,0.9769628605506874,87
CCL20,CXCR2,0.017630074994716714,0.017644817,0.016218300396458107,0.08208927,1.993107516288251e-06,3.6170388240610123,0.057190581734241075,0.9774222308862943,88
WNT7A,FZD10,0.02071240819620328,0.010933646,0.022121841387539944,0.0011780652,1.9865019208414516e-06,3.6050511640919156,0.05760429622606944,0.9785166602739845,89
LAMC1,ITGB3,0.005105113875675624,1.6408159,0.0037046494045963716,1.3332655,1.9613007347552896e-06,3.559316717886129,0.05921210778792918,0.9821407619277533,90
LAMC1,DAG1,0.004952378322604257,1.7200814,0.0035532322931522676,1.4190397,1.957609611731267e-06,3.5526181654130853,0.059451573858613216,0.982641600905447,91
FGF2,SDC2,0.005667975690646872,1.0993487,0.004270760566301674,1.6613489,1.952210103698966e-06,3.542819280995634,0.059803730238852215,0.9834592768843657,92
NRG1,ERBB4,0.01922635025232171,0.0106301615,0.017830672491239336,0.048914067,1.947916412779903e-06,3.535027204238183,0.06008534848785896,0.9841771280800363,93
LAMA4,ITGA11,0.013697652684285315,0.043333508,0.012307012292030238,0.033181023,1.9338807005713564e-06,3.509555564817444,0.06101582149585871,0.9866188722438781,94
TNC,SDC2,0.010703789459874437,0.24964975,0.00931815656290818,0.379497,1.9199785251551038e-06,3.4843262644367314,0.06195257491645911,0.9890692375855975,95
FGF2,NRP1,0.010581813423356486,0.22073697,0.009196736907999669,0.45798466,1.918436953392983e-06,3.4815286607610143,0.062057388125154045,0.9893842876285416,96
ANGPTL4,SDC1,0.00829868638991538,0.51610297,0.006915132231614637,0.5448461,1.914222108951279e-06,3.4738796725060244,0.06234492553744875,0.9900375119905395,97
VEGFC,ERBB3,0.01299841653882472,0.08424531,0.011627174317042369,0.18763706,1.8803052307985987e-06,3.412328218775292,0.06471108616439003,0.9956823701491547,98
TGFB1,THBS1,0.014484525511268305,0.034766126,0.013113618729679357,0.020894732,1.8793854038065675e-06,3.410658941069796,0.06477657540953141,0.995801771868164,99
LAMC2,ITGB8,0.017015162971437472,0.024067098,0.0156460467839273,0.035591256,1.8744791349023943e-06,3.4017551739811416,0.06512708550552526,0.9966598745397918,100
LAMA5,ITGB8,0.016293125563313,0.040768415,0.014925483775306482,0.06862442,1.8704440603016628e-06,3.3944324272805475,0.0654168733411844,0.9973010879439079,101
BDNF,ERBB2,0.010294625356946951,0.275286,0.008939407696491685,0.38479072,1.8366149072098438e-06,3.3330401746708715,0.06790125500940947,0.9999999189135129,102
LAMA4,ITGAV,0.0027468690497576297,3.1677585,0.0013924242366524168,1.5440518,1.8345207517476152e-06,3.329239756706161,0.06805832646093224,0.9999999189135129,103
FGF2,EPHB2,0.005330616176474528,1.7419202,0.006677950720626475,0.2327254,1.8153103738651347e-06,3.2943772708352457,0.06951746339067921,0.9999999189135129,104
LAMA1,ITGB8,0.011836918099499966,0.18472202,0.010506501402855114,0.29157457,1.7700085867114005e-06,3.2121647852591755,0.0730927176711168,0.9999999189135129,105
LAMA4,ITGA1,0.012214754117433457,0.13744546,0.010886385494027201,0.110297434,1.7645631996502297e-06,3.2022826407931437,0.07353556874579481,0.9999999189135129,106
LIF,IL6ST,0.0050908215697742345,1.7719994,0.0037665284641295064,1.6930995,1.7537522296581589e-06,3.1826631782867247,0.07442333824803182,0.9999999189135129,107
NRG1,ERBB3,0.017405566834691116,0.021585837,0.016082582957918857,0.08062015,1.7502863381993551e-06,3.1763733701032604,0.074710378979581,0.9999999189135129,108
NRG1,LGR4,0.016072804882665732,0.036642566,0.014754912107515415,0.10923898,1.7368413667934028e-06,3.1519737914722565,0.07583518046648285,0.9999999189135129,109
FGF2,FGFR4,0.009668164609235226,0.2840372,0.008351775442645828,0.5627613,1.7328804379139297e-06,3.144785602466237,0.0761700105649018,0.9999999189135129,110
BDNF,FGFR1,0.01033995026294246,0.28661707,0.009029256307729458,0.4010612,1.7179186442319038e-06,3.117633334872434,0.0774491948022753,0.9999999189135129,111
LAMB3,ITGB8,0.015886038499688605,0.04288982,0.014579953347512099,0.07653207,1.7058584247359268e-06,3.095746767395691,0.07849712853541058,0.9999999189135129,112
CXCL8,CXCR4,0.00929721434198388,1.8226537,0.010603173121541245,0.8521426,1.7055283339029604e-06,3.0951477272794157,0.07852602444988177,0.9999999189135129,113
THBS1,SCARB1,0.008804538288542269,0.34826064,0.00750189049975251,0.57280004,1.6968912616388483e-06,3.0794733968932193,0.07928619337808962,0.9999999189135129,114
FGF2,AXL,0.015471184756605172,0.027882537,0.014177755266458085,0.046234425,1.6729598459821523e-06,3.0360432964909023,0.08143418400754143,0.9999999189135129,115
SPP1,ITGB8,0.007579445831497022,0.6077022,0.006286256900124289,0.9256371,1.6723376122249513e-06,3.0349140831198,0.08149086359396795,0.9999999189135129,116
NRG1,LSR,0.015638754799714855,0.05085796,0.014347696591933034,0.10951057,1.6668312958808069e-06,3.0249213658019594,0.08199429565864602,0.9999999189135129,117
FGF2,THBS1,0.014550313854187555,0.036965773,0.013261770030555635,0.042540837,1.6603451854199667e-06,3.0131505440262742,0.0825916178196181,0.9999999189135129,118
WNT5B,FZD10,0.015420324491687233,0.10687295,0.01670515190842058,0.00786419,1.6507814907896839e-06,2.9957946038692587,0.08348094974029774,0.9999999189135129,119
VEGFA,ERBB2,0.0062861303702593544,1.2694916,0.005018353061330212,1.4353415,1.6072593050356174e-06,2.916811691861773,0.08766091482793004,0.9999999189135129,120
TGFB1,EPHB2,0.005262034082983573,1.6382673,0.006521608982265838,0.11430745,1.5865289269019286e-06,2.8791907497228073,0.08973110665932316,0.9999999189135129,121
DUSP18,ITGB8,0.014768406877467073,0.07887951,0.01351340459244482,0.11297414,1.5750307354110744e-06,2.858324135810097,0.09090215933028012,0.9999999189135129,122
TGFB1,TGFBR2,0.0073680754940650935,0.6559344,0.006113825346265389,0.43931842,1.5731434332555817e-06,2.854899109757381,0.09109595457803743,0.9999999189135129,123
VEGFC,FGFR4,0.013100032333908836,0.08663923,0.01184840631772495,0.16648038,1.566567684388346e-06,2.842965614571752,0.09177468949439893,0.9999999189135129,124
LAMA3,ITGB8,0.017100575735961458,0.011005546,0.01585473900984108,0.023633663,1.5521091481503448e-06,2.8167266452815576,0.09328646961229936,0.9999999189135129,125
AREG,ERBB2,0.01428300767944899,0.093448885,0.013048246049105249,0.1433473,1.524636283769135e-06,2.7668696173676515,0.09623419358501994,0.9999999189135129,126
VEGFC,AXL,0.018660497309271433,0.008504947,0.017426763568142014,0.013677423,1.5220989440011922e-06,2.7622649202424436,0.09651151257045909,0.9999999189135129,127
CXCL5,CXCR4,0.013917688026667416,0.086538866,0.012686475829765946,0.08187307,1.5158834737989433e-06,2.7509852492524933,0.09719451985398198,0.9999999189135129,128
