 	gene_name
MZT2A	MZT2A
POLG	POLG
CEP78	CEP78
MINDY2	MINDY2
USP47	USP47
KYNU	KYNU
MESD	MESD
ARL4D	ARL4D
COX5A	COX5A
HS3ST1	HS3ST1
TPBG	TPBG
EFHD1	EFHD1
SEMA6A	SEMA6A
SPC25	SPC25
RANGAP1	RANGAP1
LIF	LIF
CENPX	CENPX
RCCD1	RCCD1
RETREG1	RETREG1
CXXC5	CXXC5
CXCR4	CXCR4
LACTB2	LACTB2
IFT57	IFT57
SGO2	SGO2
DHCR24	DHCR24
TANC2	TANC2
ID2	ID2
JUP	JUP
BHLHE41	BHLHE41
NOLC1	NOLC1
HMGCS1	HMGCS1
TOB2	TOB2
PPP1R3B	PPP1R3B
WNT7B	WNT7B
SSH2	SSH2
SNRPF	SNRPF
EGR1	EGR1
GGCT	GGCT
SQLE	SQLE
JPT2	JPT2
SOX17	SOX17
SDC2	SDC2
SMC2	SMC2
INSIG2	INSIG2
MPC1	MPC1
GCLC	GCLC
TFDP1	TFDP1
TFAP2A	TFAP2A
DUSP4	DUSP4
TGS1	TGS1
SHTN1	SHTN1
GPNMB	GPNMB
ABLIM1	ABLIM1
EPS8L2	EPS8L2
VPS29	VPS29
FNIP2	FNIP2
HNRNPD	HNRNPD
CERT1	CERT1
TICRR	TICRR
NQO1	NQO1
HSPH1	HSPH1
HSPB1	HSPB1
MPC2	MPC2
DKC1	DKC1
ARHGAP11A	ARHGAP11A
GABPA	GABPA
SDAD1	SDAD1
CYB5R3	CYB5R3
SAC3D1	SAC3D1
LSM5	LSM5
RBPMS	RBPMS
TSTD1	TSTD1
CAPG	CAPG
LRRC17	LRRC17
RPA3	RPA3
SCG5	SCG5
PRICKLE2	PRICKLE2
PRR13	PRR13
VEGFA	VEGFA
CYP3A5	CYP3A5
SUZ12	SUZ12
RRAS2	RRAS2
SKAP1	SKAP1
TMEM245	TMEM245
MIS18BP1	MIS18BP1
PNPLA4	PNPLA4
EVA1B	EVA1B
CEP170	CEP170
BAG3	BAG3
FURIN	FURIN
PNN	PNN
CPD	CPD
TMEM120B	TMEM120B
LAD1	LAD1
FAM111A	FAM111A
ADGRF1	ADGRF1
RASSF6	RASSF6
RAB31	RAB31
NAMPT	NAMPT
KLF2	KLF2
SLFN13	SLFN13
KCNK9	KCNK9
PNP	PNP
ANP32B	ANP32B
SYT1	SYT1
CTSV	CTSV
HELLPAR	HELLPAR
BHMT2	BHMT2
NRCAM	NRCAM
EXOSC8	EXOSC8
NASP	NASP
LRP1	LRP1
GINS2	GINS2
GPATCH4	GPATCH4
MESP1	MESP1
SYNGR2	SYNGR2
FBN1	FBN1
SPNS2	SPNS2
ACY1	ACY1
LMO7	LMO7
OSBPL11	OSBPL11
EEF1A2	EEF1A2
ITGA11	ITGA11
CDCA2	CDCA2
FSTL1	FSTL1
SIVA1	SIVA1
CHAF1A	CHAF1A
DDX39A	DDX39A
TM7SF2	TM7SF2
GTF3A	GTF3A
GAS6	GAS6
COL5A1	COL5A1
HLA-DMB	HLA-DMB
EIF2S3	EIF2S3
LPCAT3	LPCAT3
IFI6	IFI6
MARCKS	MARCKS
PRSS3	PRSS3
CCDC34	CCDC34
PLOD2	PLOD2
GADD45B	GADD45B
CENPN	CENPN
UXS1	UXS1
OSBPL10	OSBPL10
SLC5A3	SLC5A3
F2R	F2R
FOXM1	FOXM1
SNHG19	SNHG19
HGD	HGD
GALNT7	GALNT7
NDC80	NDC80
RAB9A	RAB9A
KIF4A	KIF4A
UBTF	UBTF
TSC22D1	TSC22D1
ESCO2	ESCO2
FOSL2	FOSL2
CLEC11A	CLEC11A
RACGAP1	RACGAP1
SLC3A1	SLC3A1
IGF2BP3	IGF2BP3
LYAR	LYAR
MAP4K4	MAP4K4
DCBLD2	DCBLD2
DANCR	DANCR
ESD	ESD
CD55	CD55
RAMP1	RAMP1
CNKSR3	CNKSR3
CLEC2B	CLEC2B
DKK3	DKK3
KNSTRN	KNSTRN
CYB5A	CYB5A
FBXO22	FBXO22
ARPIN	ARPIN
SPATS2L	SPATS2L
EIF1AX	EIF1AX
PCOLCE	PCOLCE
GAS2L3	GAS2L3
CCT5	CCT5
PHF19	PHF19
METTL21A	METTL21A
PIM3	PIM3
STAT1	STAT1
PRRX2	PRRX2
FOSL1	FOSL1
LACC1	LACC1
MAP1A	MAP1A
PLP2	PLP2
ALCAM	ALCAM
SHROOM3	SHROOM3
DRAM1	DRAM1
PATJ	PATJ
PXDN	PXDN
F11R	F11R
PDZK1	PDZK1
UGT2A3	UGT2A3
AEN	AEN
GLRX	GLRX
MFSD12	MFSD12
MSLN	MSLN
IL7R	IL7R
ATF5	ATF5
ADGRL4	ADGRL4
NPC1	NPC1
NOP56	NOP56
SDC4	SDC4
ARG2	ARG2
MMP14	MMP14
INSIG1	INSIG1
CTSC	CTSC
MTHFS	MTHFS
NORAD	NORAD
METRN	METRN
NCOA3	NCOA3
ANP32E	ANP32E
CCNF	CCNF
VPS13C	VPS13C
POLD3	POLD3
CBX1	CBX1
IQCG	IQCG
PDLIM1	PDLIM1
SCNN1A	SCNN1A
PRKDC	PRKDC
PAXX	PAXX
CSRP2	CSRP2
RFC5	RFC5
CD2AP	CD2AP
PRXL2A	PRXL2A
ZNHIT6	ZNHIT6
IFI30	IFI30
FAM83D	FAM83D
RAPGEF5	RAPGEF5
FLOT1	FLOT1
SCARB1	SCARB1
FAT1	FAT1
NCS1	NCS1
DYNLL2	DYNLL2
ECM1	ECM1
DERA	DERA
PSAT1	PSAT1
FST	FST
GCSH	GCSH
PTPRN	PTPRN
TFDP2	TFDP2
CTSL	CTSL
NT5E	NT5E
PPM1B	PPM1B
SRSF3	SRSF3
BARD1	BARD1
RRP7A	RRP7A
SQOR	SQOR
SFPQ	SFPQ
RBBP8	RBBP8
MSH6	MSH6
SNHG3	SNHG3
ZNF503	ZNF503
VPS25	VPS25
SNHG1	SNHG1
HTATIP2	HTATIP2
CYCS	CYCS
PTPN11	PTPN11
APOL1	APOL1
TCOF1	TCOF1
SLBP	SLBP
SNHG8	SNHG8
KIF14	KIF14
PPM1G	PPM1G
MTHFD1	MTHFD1
BOLA3	BOLA3
ADAM12	ADAM12
GSR	GSR
MCM5	MCM5
NR1D1	NR1D1
ANXA3	ANXA3
NUF2	NUF2
TXNDC12	TXNDC12
DIAPH1	DIAPH1
CTPS1	CTPS1
DNAJB2	DNAJB2
ETFA	ETFA
KLF5	KLF5
RFC4	RFC4
KIF2C	KIF2C
ARF6	ARF6
FNBP1	FNBP1
IDI1	IDI1
TSN	TSN
RHOBTB3	RHOBTB3
HJURP	HJURP
GALNT1	GALNT1
AMACR	AMACR
PSD3	PSD3
SGO1	SGO1
SPHK1	SPHK1
SNRNP25	SNRNP25
TRIB1	TRIB1
UTRN	UTRN
CAMK2N1	CAMK2N1
CLDN11	CLDN11
PHLDA3	PHLDA3
AMOTL2	AMOTL2
KNL1	KNL1
CDC27	CDC27
RALGPS2	RALGPS2
GFPT2	GFPT2
PPP1R14C	PPP1R14C
DDR2	DDR2
COA3	COA3
LOXL2	LOXL2
UNG	UNG
RBM47	RBM47
KIF15	KIF15
MED13	MED13
HDGF	HDGF
EIF6	EIF6
BUB1	BUB1
TENT5A	TENT5A
UTP18	UTP18
L1CAM	L1CAM
COMMD8	COMMD8
ENG	ENG
RAD21	RAD21
SIPA1L2	SIPA1L2
ATIC	ATIC
CLNS1A	CLNS1A
VPS41	VPS41
MAGOHB	MAGOHB
CYREN	CYREN
DYRK2	DYRK2
PSMC3IP	PSMC3IP
EBPL	EBPL
LAMA5	LAMA5
SNX5	SNX5
AK2	AK2
DENR	DENR
TIPARP	TIPARP
YEATS4	YEATS4
FGD6	FGD6
CORO1C	CORO1C
TMEM116	TMEM116
E2F1	E2F1
IRF1	IRF1
WEE1	WEE1
POR	POR
CSE1L	CSE1L
ETHE1	ETHE1
EFTUD2	EFTUD2
RELN	RELN
FBXO32	FBXO32
