 	gene_name
ACIN1	ACIN1
KMT5B	KMT5B
AIF1L	AIF1L
LGR4	LGR4
EXOSC10	EXOSC10
DYNC2H1	DYNC2H1
HEG1	HEG1
TMEM37	TMEM37
SMIM6	SMIM6
SRFBP1	SRFBP1
NOTCH3	NOTCH3
PIK3CD	PIK3CD
RALA	RALA
EMD	EMD
PRTG	PRTG
ADAMTS12	ADAMTS12
TMEM192	TMEM192
DHX37	DHX37
FAM8A1	FAM8A1
SMOX	SMOX
SLC25A5	SLC25A5
FADS2	FADS2
EIF5B	EIF5B
TCN2	TCN2
LTBP3	LTBP3
NRIP3	NRIP3
TMEM14C	TMEM14C
PSMG3	PSMG3
SMAD2	SMAD2
G6PC3	G6PC3
DENND2D	DENND2D
CCDC167	CCDC167
DACT1	DACT1
CDKN2A	CDKN2A
ATP5F1C	ATP5F1C
POP7	POP7
DNMT3B	DNMT3B
DNAJC7	DNAJC7
NRAV	NRAV
ALDH1B1	ALDH1B1
CMC2	CMC2
GALNT6	GALNT6
SAFB	SAFB
CASP3	CASP3
NUCKS1	NUCKS1
USP33	USP33
ERC1	ERC1
FAM199X	FAM199X
KIF2A	KIF2A
ITCH	ITCH
PLPP3	PLPP3
TRMT10C	TRMT10C
DMTN	DMTN
TSPAN13	TSPAN13
IMMT	IMMT
GMDS	GMDS
AHCTF1	AHCTF1
ATAD3B	ATAD3B
LPAR2	LPAR2
PECR	PECR
SEL1L	SEL1L
MORN2	MORN2
SLC35F5	SLC35F5
PMVK	PMVK
IFT74	IFT74
VASP	VASP
RBM28	RBM28
CEBPZ	CEBPZ
ARHGAP8	ARHGAP8
SRXN1	SRXN1
SIRPA	SIRPA
RITA1	RITA1
DNAJC19	DNAJC19
AAK1	AAK1
HMGCR	HMGCR
GNB4	GNB4
GATAD1	GATAD1
ADK	ADK
NDUFS8	NDUFS8
THOC6	THOC6
NFE2L1	NFE2L1
UHMK1	UHMK1
HOXD9	HOXD9
SMAP1	SMAP1
YBX1	YBX1
TIMM29	TIMM29
TRUB1	TRUB1
MTIF2	MTIF2
SERBP1	SERBP1
SRSF9	SRSF9
EPHA2	EPHA2
PRSS16	PRSS16
POLR2F	POLR2F
NUP93	NUP93
SEMA4D	SEMA4D
RXYLT1	RXYLT1
PLA2G12A	PLA2G12A
AJUBA	AJUBA
HIC1	HIC1
IWS1	IWS1
CDKN1B	CDKN1B
HERC2	HERC2
NHLRC2	NHLRC2
FRYL	FRYL
ATP2B1	ATP2B1
UBE2N	UBE2N
WIPI1	WIPI1
DHX15	DHX15
MBIP	MBIP
HIPK1	HIPK1
RNF6	RNF6
ANAPC16	ANAPC16
PREPL	PREPL
GOSR2	GOSR2
SMIM1	SMIM1
ARHGDIB	ARHGDIB
VARS2	VARS2
EFR3A	EFR3A
KLHL24	KLHL24
RNF34	RNF34
SURF1	SURF1
AXL	AXL
ARHGAP18	ARHGAP18
HELZ	HELZ
ARFGEF1	ARFGEF1
COCH	COCH
NDUFAF4	NDUFAF4
RPS6KB1	RPS6KB1
MTF2	MTF2
TTC39C	TTC39C
ARSG	ARSG
EIF5	EIF5
AP1S3	AP1S3
MPHOSPH8	MPHOSPH8
SMPD4	SMPD4
CELSR2	CELSR2
NOP2	NOP2
LRIF1	LRIF1
UCK2	UCK2
ZC3H18	ZC3H18
BECN1	BECN1
MAPK12	MAPK12
STEAP2	STEAP2
CREB3L1	CREB3L1
RAPGEF2	RAPGEF2
SESN2	SESN2
ATP5MC3	ATP5MC3
ARMCX2	ARMCX2
NUP210	NUP210
CCT2	CCT2
BAG2	BAG2
PHYH	PHYH
ORC4	ORC4
IL1R2	IL1R2
PCCB	PCCB
C1GALT1	C1GALT1
ARL6IP5	ARL6IP5
NLRP2	NLRP2
FBXO45	FBXO45
FAM110B	FAM110B
HNRNPC	HNRNPC
CHAF1B	CHAF1B
RSRC1	RSRC1
JAM3	JAM3
TMEM154	TMEM154
EIF1AD	EIF1AD
HNRNPUL1	HNRNPUL1
CXCL16	CXCL16
ACBD5	ACBD5
ACLY	ACLY
CHD4	CHD4
FOXL2	FOXL2
TPM4	TPM4
PACSIN2	PACSIN2
BET1	BET1
ARHGAP27	ARHGAP27
RRAGC	RRAGC
SH2D4A	SH2D4A
ARHGAP5	ARHGAP5
PRPF4	PRPF4
ALDH7A1	ALDH7A1
DNAJB4	DNAJB4
SYAP1	SYAP1
LYSMD4	LYSMD4
ARFGEF3	ARFGEF3
TSPYL2	TSPYL2
ZNRF3	ZNRF3
FUS	FUS
HSD17B12	HSD17B12
MAML2	MAML2
PPP4R3A	PPP4R3A
DCAF13	DCAF13
ALDH3B1	ALDH3B1
ADAMTS2	ADAMTS2
ALDH9A1	ALDH9A1
SOWAHC	SOWAHC
SCLT1	SCLT1
ARGLU1	ARGLU1
MMD	MMD
MYO9A	MYO9A
SAMD9	SAMD9
PUDP	PUDP
MAFK	MAFK
PROSER2	PROSER2
KCTD9	KCTD9
CENPJ	CENPJ
SMARCD1	SMARCD1
SLC44A3	SLC44A3
TMEM238	TMEM238
PARP2	PARP2
PLGRKT	PLGRKT
ARPC5L	ARPC5L
P3H3	P3H3
CXCR2	CXCR2
CEP63	CEP63
TRIM16L	TRIM16L
DDX51	DDX51
EMC10	EMC10
PLTP	PLTP
OBI1	OBI1
BMERB1	BMERB1
FAM110C	FAM110C
CEP135	CEP135
TIMM17B	TIMM17B
RRP12	RRP12
IFIH1	IFIH1
JAG2	JAG2
CS	CS
SMAD6	SMAD6
RELL1	RELL1
RALY	RALY
ZIC2	ZIC2
NHS	NHS
LTV1	LTV1
STK17B	STK17B
MIR222HG	MIR222HG
SERTAD2	SERTAD2
NEXN	NEXN
SMIM20	SMIM20
COQ5	COQ5
UBE2L6	UBE2L6
TNFAIP8	TNFAIP8
PTCD3	PTCD3
LRIG1	LRIG1
GRAMD2B	GRAMD2B
NOL12	NOL12
ABTB2	ABTB2
NSMCE1	NSMCE1
WDHD1	WDHD1
HIP1R	HIP1R
SLC2A3	SLC2A3
TRPV2	TRPV2
STK26	STK26
TNNI3	TNNI3
ERMP1	ERMP1
CSKMT	CSKMT
PPAN	PPAN
BTBD1	BTBD1
DICER1	DICER1
CDK4	CDK4
FUNDC1	FUNDC1
PARP4	PARP4
UNC93B1	UNC93B1
DUS4L	DUS4L
LUC7L3	LUC7L3
HADH	HADH
FGFR4	FGFR4
SEPTIN8	SEPTIN8
PBX3	PBX3
FIGNL1	FIGNL1
RAB8A	RAB8A
ELL2	ELL2
GPI	GPI
CSNK1G1	CSNK1G1
PTER	PTER
TSPAN15	TSPAN15
SLC27A5	SLC27A5
ARHGAP4	ARHGAP4
PSMB3	PSMB3
ARSD	ARSD
ZFAND6	ZFAND6
DUS1L	DUS1L
CDC42SE2	CDC42SE2
TMEM92	TMEM92
GALM	GALM
RALGAPA2	RALGAPA2
AGPS	AGPS
FUBP1	FUBP1
LRRC58	LRRC58
RHPN2	RHPN2
ACADS	ACADS
DDX42	DDX42
SLC4A7	SLC4A7
MLLT6	MLLT6
ME2	ME2
MSC	MSC
QSER1	QSER1
HOXB6	HOXB6
MAP3K2-DT	MAP3K2-DT
PUSL1	PUSL1
SNUPN	SNUPN
CMC1	CMC1
MAP3K11	MAP3K11
POLR1D	POLR1D
RASIP1	RASIP1
LIPG	LIPG
SH3BP2	SH3BP2
FAM83H	FAM83H
MED13L	MED13L
DPP8	DPP8
CMTM3	CMTM3
INSYN2B	INSYN2B
SASS6	SASS6
INTS8	INTS8
HOXB4	HOXB4
REL	REL
XPC	XPC
RNF115	RNF115
ATP2B4	ATP2B4
TGFBR3L	TGFBR3L
PAAF1	PAAF1
AFAP1	AFAP1
ZNF830	ZNF830
CYBRD1	CYBRD1
HYI	HYI
SBF1	SBF1
FLNB	FLNB
TAF9	TAF9
LRP8	LRP8
SLC25A10	SLC25A10
BAIAP2	BAIAP2
AR	AR
FAM161A	FAM161A
TRIM2	TRIM2
DMXL2	DMXL2
MEST	MEST
ZNF385A	ZNF385A
NT5C3A	NT5C3A
BACE1	BACE1
TMEM98	TMEM98
CNIH3	CNIH3
PGM2L1	PGM2L1
HIVEP1	HIVEP1
SNRPE	SNRPE
SSC5D	SSC5D
BID	BID
TMED2	TMED2
PRICKLE1	PRICKLE1
ADGRE5	ADGRE5
FH	FH
PCGF5	PCGF5
TEDC2	TEDC2
SVIP	SVIP
KANSL1L	KANSL1L
PYCR2	PYCR2
MST1R	MST1R
EBAG9	EBAG9
NOL10	NOL10
DDX27	DDX27
PKN2	PKN2
NAA20	NAA20
NPEPL1	NPEPL1
EIF2S1	EIF2S1
LAMTOR5	LAMTOR5
PTGES2	PTGES2
GPRC5B	GPRC5B
CBLB	CBLB
NR2F6	NR2F6
CD109	CD109
SUCLG1	SUCLG1
AFAP1L1	AFAP1L1
PCBP2	PCBP2
CASP8AP2	CASP8AP2
PIAS1	PIAS1
MAP4K2	MAP4K2
PDLIM3	PDLIM3
TMEM42	TMEM42
INTS13	INTS13
SPEN	SPEN
TPK1	TPK1
CCDC112	CCDC112
LRRFIP2	LRRFIP2
PALLD	PALLD
ZNRF2	ZNRF2
PYGO1	PYGO1
CCDC86	CCDC86
BAIAP2L2	BAIAP2L2
RBM17	RBM17
POC1A	POC1A
TRIO	TRIO
SLC35B1	SLC35B1
CRIM1	CRIM1
VAV2	VAV2
TRIP6	TRIP6
CLGN	CLGN
RBMS2	RBMS2
GLS	GLS
ADAM15	ADAM15
PIK3C2A	PIK3C2A
TSFM	TSFM
RRP1	RRP1
RAD51	RAD51
ITPK1	ITPK1
CEP83	CEP83
KIF13B	KIF13B
FIGN	FIGN
TRIM28	TRIM28
DPM2	DPM2
NT5DC1	NT5DC1
TMEM45A	TMEM45A
DALRD3	DALRD3
PRAF2	PRAF2
DDX10	DDX10
HNRNPUL2	HNRNPUL2
MICAL3	MICAL3
NUDT9	NUDT9
LIFR	LIFR
CNOT9	CNOT9
PCDH18	PCDH18
GNPNAT1	GNPNAT1
NAP1L4	NAP1L4
BICD1	BICD1
PICK1	PICK1
CAMK1	CAMK1
UBASH3B	UBASH3B
RAB1B	RAB1B
NSUN5	NSUN5
ST3GAL4	ST3GAL4
PUM3	PUM3
OXCT1	OXCT1
GSTP1	GSTP1
WDR77	WDR77
SH3PXD2B	SH3PXD2B
EIF2B1	EIF2B1
STIM1	STIM1
POGK	POGK
EYA3	EYA3
SNHG9	SNHG9
FASN	FASN
PTRH1	PTRH1
MFSD4B	MFSD4B
TUBB6	TUBB6
VCL	VCL
REEP4	REEP4
ERLIN2	ERLIN2
MMAB	MMAB
CDC26	CDC26
METRNL	METRNL
LATS2	LATS2
DLD	DLD
GEN1	GEN1
NLN	NLN
SLC29A1	SLC29A1
ESF1	ESF1
NLE1	NLE1
SLC43A3	SLC43A3
NDUFV1	NDUFV1
CDK5RAP1	CDK5RAP1
CISD1	CISD1
KDM1B	KDM1B
DNM2	DNM2
SSH3	SSH3
LIG3	LIG3
SRBD1	SRBD1
SLC15A4	SLC15A4
LMF2	LMF2
HCFC2	HCFC2
MRM1	MRM1
BRCC3	BRCC3
HTATSF1	HTATSF1
GXYLT1	GXYLT1
AAGAB	AAGAB
FBXO17	FBXO17
PAM16	PAM16
RANBP17	RANBP17
PUS7	PUS7
ETS1	ETS1
TMBIM1	TMBIM1
SNHG30	SNHG30
TNPO3	TNPO3
IPO7	IPO7
FTX	FTX
SNX24	SNX24
SFT2D2	SFT2D2
KPNA3	KPNA3
MAGEH1	MAGEH1
PPIL1	PPIL1
SAMHD1	SAMHD1
LCOR	LCOR
GNS	GNS
GCA	GCA
ETV5	ETV5
CDK2	CDK2
SYNRG	SYNRG
EEF1AKMT4	EEF1AKMT4
PRR5	PRR5
BAG5	BAG5
DARS2	DARS2
GEMIN5	GEMIN5
LARP4	LARP4
ST3GAL1	ST3GAL1
IRS1	IRS1
PXN	PXN
RBFA	RBFA
VEPH1	VEPH1
CYFIP2	CYFIP2
RPA2	RPA2
QSOX1	QSOX1
MYLIP	MYLIP
ADNP2	ADNP2
NIT2	NIT2
NSFL1C	NSFL1C
SYT14	SYT14
CENPL	CENPL
SPR	SPR
MTCL1	MTCL1
CSGALNACT2	CSGALNACT2
FCHO2	FCHO2
BCS1L	BCS1L
TRMT6	TRMT6
FCHO1	FCHO1
STAMBP	STAMBP
PMF1	PMF1
MTR	MTR
KAT6A	KAT6A
TOE1	TOE1
TRIB2	TRIB2
NUFIP2	NUFIP2
CASK	CASK
SH3GLB2	SH3GLB2
TXN2	TXN2
CD68	CD68
PSMB8	PSMB8
RAB40B	RAB40B
TRMT1	TRMT1
ZDHHC7	ZDHHC7
NEAT1	NEAT1
SCO2	SCO2
ZC3H8	ZC3H8
WDR45B	WDR45B
EIF3J	EIF3J
TKFC	TKFC
CRCP	CRCP
FERMT1	FERMT1
ARL6IP6	ARL6IP6
FEZ1	FEZ1
KLF12	KLF12
HK2	HK2
SEC11A	SEC11A
URB2	URB2
ELK3	ELK3
TPI1	TPI1
SMUG1	SMUG1
SLC16A1	SLC16A1
TUBD1	TUBD1
MLLT3	MLLT3
VPS13A	VPS13A
CENPQ	CENPQ
ABHD14A	ABHD14A
CBX6	CBX6
CASP6	CASP6
ABCA7	ABCA7
SLF1	SLF1
ZCCHC8	ZCCHC8
EIF3B	EIF3B
DTX2	DTX2
TMEM19	TMEM19
RTN2	RTN2
OSBPL1A	OSBPL1A
RIC8B	RIC8B
EPB41L1	EPB41L1
THUMPD3	THUMPD3
PPP2R2C	PPP2R2C
GPR137	GPR137
ZNF880	ZNF880
ZFYVE21	ZFYVE21
HAUS8	HAUS8
LRP11	LRP11
HSD17B10	HSD17B10
RPS6KA1	RPS6KA1
ARSJ	ARSJ
RMND5A	RMND5A
HIVEP2	HIVEP2
CERS6	CERS6
BRD1	BRD1
TBC1D5	TBC1D5
MACROD1	MACROD1
CCT6A	CCT6A
COQ3	COQ3
PLEKHJ1	PLEKHJ1
HAGLROS	HAGLROS
PXK	PXK
SSPN	SSPN
GSE1	GSE1
KRR1	KRR1
OBSCN	OBSCN
MTLN	MTLN
EEF1B2	EEF1B2
NAPRT	NAPRT
CAMKK2	CAMKK2
HSPE1	HSPE1
UTP4	UTP4
PHACTR2	PHACTR2
GTF2E1	GTF2E1
KLHL8	KLHL8
FZD3	FZD3
DIXDC1	DIXDC1
TYW3	TYW3
MIR193BHG	MIR193BHG
FHOD3	FHOD3
MYRF	MYRF
OPTN	OPTN
DHX9	DHX9
NR2C1	NR2C1
DNAJC10	DNAJC10
EPSTI1	EPSTI1
BBS4	BBS4
HAVCR1	HAVCR1
SLC25A24	SLC25A24
TMX1	TMX1
PPHLN1	PPHLN1
GRK6	GRK6
EIF2AK2	EIF2AK2
WDR12	WDR12
KIAA0040	KIAA0040
DPYSL2	DPYSL2
APOL2	APOL2
FAM89A	FAM89A
EEA1	EEA1
BCCIP	BCCIP
GKAP1	GKAP1
KHDC4	KHDC4
PSPH	PSPH
HECTD1	HECTD1
STK17A	STK17A
PDE7B	PDE7B
FLNC	FLNC
NANS	NANS
NFX1	NFX1
EIF2AK1	EIF2AK1
COX6A1	COX6A1
TTBK2	TTBK2
CHDH	CHDH
DHRS11	DHRS11
PPCDC	PPCDC
MIR99AHG	MIR99AHG
LNPEP	LNPEP
ERAP2	ERAP2
SLC41A2	SLC41A2
SKIL	SKIL
EXOC2	EXOC2
SPRY2	SPRY2
COL27A1	COL27A1
FAM210B	FAM210B
PRPS1	PRPS1
TBRG4	TBRG4
HDAC9	HDAC9
RNF8	RNF8
AIFM1	AIFM1
GNAQ	GNAQ
DTX3L	DTX3L
PLEKHB2	PLEKHB2
ATXN2	ATXN2
CHAC2	CHAC2
GBP1	GBP1
CHST3	CHST3
MIEF1	MIEF1
SNHG32	SNHG32
MAGED1	MAGED1
COASY	COASY
BACE2	BACE2
TNFRSF10D	TNFRSF10D
MTMR10	MTMR10
EFNB1	EFNB1
GSTK1	GSTK1
EDNRA	EDNRA
TP53INP1	TP53INP1
SYNJ2	SYNJ2
NFKBIE	NFKBIE
ZBED3	ZBED3
SFMBT1	SFMBT1
TFPI	TFPI
P2RX4	P2RX4
CPEB4	CPEB4
ZNF33B	ZNF33B
CHTOP	CHTOP
ARHGEF10	ARHGEF10
ARAP3	ARAP3
INSR	INSR
DBT	DBT
ETF1	ETF1
SAV1	SAV1
DNAAF5	DNAAF5
RAD9A	RAD9A
KDM2A	KDM2A
BAZ1B	BAZ1B
MRS2	MRS2
NOM1	NOM1
TALDO1	TALDO1
NAT10	NAT10
NUFIP1	NUFIP1
RMND5B	RMND5B
IRF2BP2	IRF2BP2
SMPDL3B	SMPDL3B
TXNDC9	TXNDC9
UBE2Q1	UBE2Q1
EDC3	EDC3
GLIPR2	GLIPR2
AP1G2	AP1G2
POLK	POLK
NR2C2AP	NR2C2AP
SORT1	SORT1
CYP51A1	CYP51A1
VASN	VASN
ZNF267	ZNF267
DNM3OS	DNM3OS
HACD1	HACD1
ZNF395	ZNF395
TMEM51	TMEM51
PKIA	PKIA
NPTXR	NPTXR
RWDD2A	RWDD2A
WBP2	WBP2
RBM6	RBM6
MAP4K3	MAP4K3
CHST15	CHST15
IFNGR1	IFNGR1
AP3D1	AP3D1
LMO4	LMO4
RETSAT	RETSAT
METTL2B	METTL2B
MOB1B	MOB1B
SGMS2	SGMS2
ATL3	ATL3
CHAMP1	CHAMP1
CMTM4	CMTM4
ARMC9	ARMC9
SLC4A4	SLC4A4
PTK7	PTK7
HMGN5	HMGN5
SLFN12	SLFN12
MTERF2	MTERF2
MGMT	MGMT
CEP70	CEP70
RREB1	RREB1
USP24	USP24
HAUS4	HAUS4
GCC2	GCC2
MAD2L2	MAD2L2
RTN3	RTN3
NHLRC3	NHLRC3
FADS1	FADS1
E2F3	E2F3
LRRCC1	LRRCC1
MAPRE1	MAPRE1
RHOQ	RHOQ
WDR26	WDR26
MEIS1	MEIS1
TOMM6	TOMM6
PLA2G4A	PLA2G4A
BZW2	BZW2
RNF187	RNF187
FAF2	FAF2
ICA1	ICA1
ENDOD1	ENDOD1
PITHD1	PITHD1
EVA1A	EVA1A
COL16A1	COL16A1
FJX1	FJX1
LURAP1L	LURAP1L
PLPBP	PLPBP
ELOVL1	ELOVL1
UBA6	UBA6
CMIP	CMIP
PIGU	PIGU
TSPO	TSPO
AGL	AGL
YARS2	YARS2
SMARCC2	SMARCC2
SLC39A1	SLC39A1
PTPMT1	PTPMT1
HACD2	HACD2
PPP6R1	PPP6R1
PLSCR4	PLSCR4
RPP40	RPP40
PRPF40A	PRPF40A
STRADA	STRADA
EZH1	EZH1
HSP90AA1	HSP90AA1
SCCPDH	SCCPDH
TDRD3	TDRD3
PTPN2	PTPN2
XRCC4	XRCC4
SYT11	SYT11
PGAP2	PGAP2
METTL7B	METTL7B
SACS	SACS
SLC41A1	SLC41A1
GRTP1	GRTP1
SRSF10	SRSF10
HSPA14	HSPA14
PKN3	PKN3
RPS6KA4	RPS6KA4
RUSC1	RUSC1
MCUB	MCUB
MFAP1	MFAP1
CYB561A3	CYB561A3
RXRA	RXRA
PES1	PES1
CDV3	CDV3
DCK	DCK
NT5DC3	NT5DC3
WDR5	WDR5
NAA35	NAA35
FKBP7	FKBP7
SOCS5	SOCS5
TBC1D16	TBC1D16
KIF9	KIF9
EFCAB14	EFCAB14
STX18	STX18
VPS26A	VPS26A
RAD51D	RAD51D
GPRIN1	GPRIN1
MSH3	MSH3
TMEM223	TMEM223
EIF4G1	EIF4G1
STK19	STK19
RIOX2	RIOX2
ERCC5	ERCC5
DBNDD1	DBNDD1
FN3KRP	FN3KRP
VAT1L	VAT1L
QTRT2	QTRT2
TCF20	TCF20
GAA	GAA
ZMYM1	ZMYM1
AIMP2	AIMP2
PTPRJ	PTPRJ
CCDC51	CCDC51
ABHD3	ABHD3
MIR210HG	MIR210HG
TICAM1	TICAM1
MT2A	MT2A
POLD1	POLD1
PPRC1	PPRC1
CNTLN	CNTLN
HRH1	HRH1
CCP110	CCP110
ARRDC1	ARRDC1
APH1B	APH1B
LGALS3BP	LGALS3BP
HLTF	HLTF
CLASP2	CLASP2
TTC23	TTC23
ABHD15	ABHD15
RSAD1	RSAD1
CCNT1	CCNT1
ARSA	ARSA
NFS1	NFS1
LAS1L	LAS1L
PFKP	PFKP
PARP9	PARP9
SUN2	SUN2
FRK	FRK
PPP3CA	PPP3CA
BCL2L11	BCL2L11
TMEM170A	TMEM170A
GIPC1	GIPC1
LRRC45	LRRC45
SPATA5	SPATA5
MED14	MED14
ATP10D	ATP10D
STRN	STRN
KIF3A	KIF3A
STK38L	STK38L
MGAT4A	MGAT4A
SAMM50	SAMM50
STOML1	STOML1
NPRL3	NPRL3
KIAA1522	KIAA1522
TIMP1	TIMP1
RPS6KB2	RPS6KB2
ACSS2	ACSS2
PLEKHA2	PLEKHA2
GBP3	GBP3
FARS2	FARS2
JADE2	JADE2
PEBP1	PEBP1
HPS5	HPS5
TMEM179B	TMEM179B
GMPR	GMPR
TNFRSF10A	TNFRSF10A
ILF3-DT	ILF3-DT
DYNC2LI1	DYNC2LI1
TRIM26	TRIM26
PSPC1	PSPC1
RBM12	RBM12
ARID3A	ARID3A
CDC16	CDC16
BRAP	BRAP
MIF4GD	MIF4GD
LAMB1	LAMB1
BPGM	BPGM
RWDD4	RWDD4
SRD5A3	SRD5A3
CLK4	CLK4
ANKRD37	ANKRD37
VPS33B	VPS33B
AZIN1	AZIN1
FAS	FAS
FBXO38	FBXO38
NBPF14	NBPF14
MAN1A1	MAN1A1
EPOP	EPOP
PROSER1	PROSER1
BCAS4	BCAS4
DDX39B	DDX39B
PARN	PARN
DIS3L	DIS3L
ITGBL1	ITGBL1
MEIS2	MEIS2
NUP205	NUP205
SRD5A1	SRD5A1
CNOT10	CNOT10
PRKAR2A	PRKAR2A
SLC37A4	SLC37A4
NPDC1	NPDC1
C1R	C1R
POLR3B	POLR3B
TRAPPC9	TRAPPC9
SV2A	SV2A
KIRREL1	KIRREL1
USP36	USP36
LHFPL2	LHFPL2
FOXN3	FOXN3
HK1	HK1
GTF2IRD1	GTF2IRD1
AACS	AACS
WWC3	WWC3
FYN	FYN
HEATR6	HEATR6
HDHD3	HDHD3
MBNL2	MBNL2
FAM227A	FAM227A
ST6GALNAC4	ST6GALNAC4
MKNK2	MKNK2
ZNF292	ZNF292
AMMECR1	AMMECR1
CHD8	CHD8
SPRY4	SPRY4
CPEB1	CPEB1
TMEM184A	TMEM184A
USP37	USP37
NUP98	NUP98
ATF7IP2	ATF7IP2
PTPN13	PTPN13
NUP85	NUP85
TUT7	TUT7
SPAG16	SPAG16
ASCC1	ASCC1
ISCA1	ISCA1
PDIA4	PDIA4
SHMT2	SHMT2
TRA2B	TRA2B
SLC11A2	SLC11A2
HEATR1	HEATR1
PRIM2	PRIM2
PCF11	PCF11
LPAR1	LPAR1
FUCA2	FUCA2
DIPK2A	DIPK2A
GK5	GK5
KCTD14	KCTD14
KIAA0232	KIAA0232
EP300	EP300
SCAF1	SCAF1
SYNJ2BP	SYNJ2BP
FNDC4	FNDC4
MORC4	MORC4
GBE1	GBE1
SLC27A4	SLC27A4
RNF135	RNF135
KIF12	KIF12
RPF2	RPF2
SF3B3	SF3B3
SLC2A6	SLC2A6
ATP13A3	ATP13A3
AK6	AK6
RGS3	RGS3
PTGR2	PTGR2
SLC29A2	SLC29A2
RAPH1	RAPH1
ZMYND19	ZMYND19
FRMD8	FRMD8
KIAA0930	KIAA0930
TEX2	TEX2
SETD9	SETD9
DENND5B	DENND5B
MRTFB	MRTFB
PER3	PER3
USP13	USP13
COX14	COX14
HOOK2	HOOK2
APOL6	APOL6
TAB3	TAB3
ABCC5	ABCC5
PHF3	PHF3
CHTF18	CHTF18
SNRNP40	SNRNP40
EIF4ENIF1	EIF4ENIF1
PDK1	PDK1
GRAMD1A	GRAMD1A
WNT5B	WNT5B
SOX4	SOX4
ENOPH1	ENOPH1
NIP7	NIP7
ARMCX1	ARMCX1
GLO1	GLO1
GGA2	GGA2
FOXRED2	FOXRED2
SNRPG	SNRPG
PRXL2C	PRXL2C
ARHGAP10	ARHGAP10
SNRNP200	SNRNP200
AKIRIN1	AKIRIN1
USP48	USP48
BNIP1	BNIP1
NIPA1	NIPA1
ZNF706	ZNF706
PINX1	PINX1
GATC	GATC
LCLAT1	LCLAT1
PDCD4	PDCD4
ABHD12	ABHD12
ADCK2	ADCK2
DOCK6	DOCK6
SNTB2	SNTB2
POLR1A	POLR1A
UNKL	UNKL
BPHL	BPHL
ARMT1	ARMT1
TJP1	TJP1
UGT1A6	UGT1A6
SEC24B	SEC24B
TMEM120A	TMEM120A
DHODH	DHODH
CEMIP2	CEMIP2
CCDC122	CCDC122
CTR9	CTR9
ORC5	ORC5
NEK3	NEK3
CCDC6	CCDC6
PHRF1	PHRF1
GSTT2B	GSTT2B
IMMP2L	IMMP2L
RNF10	RNF10
EPS8L1	EPS8L1
SCLY	SCLY
KLF7	KLF7
GNL2	GNL2
IVD	IVD
SERINC5	SERINC5
ZNF544	ZNF544
EHBP1L1	EHBP1L1
CELSR1	CELSR1
CCNC	CCNC
POLR1B	POLR1B
SLK	SLK
MED24	MED24
LTA4H	LTA4H
SLC8B1	SLC8B1
RNF126	RNF126
EID2	EID2
NME6	NME6
EEF2K	EEF2K
SNX1	SNX1
PLK3	PLK3
FAHD1	FAHD1
LONP1	LONP1
PIGW	PIGW
GINS4	GINS4
ERI1	ERI1
ENTPD7	ENTPD7
PGPEP1	PGPEP1
RBM12B	RBM12B
TASOR2	TASOR2
FKBP11	FKBP11
SPRYD4	SPRYD4
HMGCL	HMGCL
NUP35	NUP35
TFPI2	TFPI2
CALCOCO2	CALCOCO2
PRIMPOL	PRIMPOL
DCAF16	DCAF16
NOB1	NOB1
AASS	AASS
RNF138	RNF138
MPPE1	MPPE1
SMCO4	SMCO4
TBC1D7	TBC1D7
LPIN2	LPIN2
ZNF121	ZNF121
TSHZ3	TSHZ3
CNRIP1	CNRIP1
WDFY1	WDFY1
RNF26	RNF26
ORC3	ORC3
POMGNT2	POMGNT2
EPM2AIP1	EPM2AIP1
TRIP11	TRIP11
CNPY3	CNPY3
AP1B1	AP1B1
FAM98B	FAM98B
TUBGCP4	TUBGCP4
TSHZ1	TSHZ1
SGPL1	SGPL1
CNOT11	CNOT11
TTC27	TTC27
UBAP2	UBAP2
APAF1	APAF1
AP5B1	AP5B1
IKBIP	IKBIP
HCFC1	HCFC1
CEBPG	CEBPG
TWF1	TWF1
RBIS	RBIS
VANGL1	VANGL1
KLHL21	KLHL21
SF3A3	SF3A3
ATG5	ATG5
CLSTN1	CLSTN1
PYROXD1	PYROXD1
SMARCC1	SMARCC1
NFAT5	NFAT5
EXOSC2	EXOSC2
PTRH2	PTRH2
B4GALT5	B4GALT5
IMMP1L	IMMP1L
ATR	ATR
TEX264	TEX264
LIAS	LIAS
GLA	GLA
PLEKHM1	PLEKHM1
FLVCR1	FLVCR1
SAAL1	SAAL1
USP40	USP40
DEDD2	DEDD2
MIA2	MIA2
RMI1	RMI1
CCDC91	CCDC91
CUTC	CUTC
SCML1	SCML1
DFFA	DFFA
CHMP4B	CHMP4B
ERLIN1	ERLIN1
KLF4	KLF4
TLE1	TLE1
WDR4	WDR4
CYFIP1	CYFIP1
LRRC1	LRRC1
SARS2	SARS2
CENPC	CENPC
MANSC1	MANSC1
MINCR	MINCR
MFSD14B	MFSD14B
PRELID3B	PRELID3B
DMAC2L	DMAC2L
WDR3	WDR3
VDR	VDR
ITPR2	ITPR2
SLC25A16	SLC25A16
SHC3	SHC3
LTBR	LTBR
FBXW7	FBXW7
HMGXB4	HMGXB4
OGFOD3	OGFOD3
SPSB1	SPSB1
UROS	UROS
GSDMD	GSDMD
CCDC28B	CCDC28B
CFAP20	CFAP20
